"1","10","Undergraduate Faculties","School of Science","Mathematics"
"2","10","Undergraduate Faculties","School of Science","Physics"
"3","10","Undergraduate Faculties","School of Science","Chemistry"
"4","10","Undergraduate Faculties","School of Science","Earth and Planetary Sciences"
"5","10","Undergraduate Faculties","School of Engineering","Mechanical Engineering"
"6","10","Undergraduate Faculties","School of Engineering","Systems and Control Engineering"
"7","10","Undergraduate Faculties","School of Engineering","Electrical and Electronic Engineering"
"8","10","Undergraduate Faculties","School of Engineering","Information and Communications Engineering"
"9","10","Undergraduate Faculties","School of Engineering","Industrial Engineering and Economics"
"10","10","Undergraduate Faculties","School of Materials and Chemical Technology","Materials Science and Engineering"
"11","10","Undergraduate Faculties","School of Materials and Chemical Technology","Chemical Science and Engineering"
"12","10","Undergraduate Faculties","School of Computing","Mathematical and Computing Science"
"13","10","Undergraduate Faculties","School of Computing","Computer Science"
"14","10","Undergraduate Faculties","School of Life Science and Technology","Life Science and Technology"
"15","10","Undergraduate Faculties","School of Environment and Society","Architecture and Building Engineering"
"16","10","Undergraduate Faculties","School of Environment and Society","Civil and Environmental Engineering"
"17","10","Undergraduate Faculties","School of Environment and Society","Transdisciplinary Science and Engineering"
"18","10","Postgraduate Faculties","School of Science","Mathematics"
"19","10","Postgraduate Faculties","School of Science","Physics"
"20","10","Postgraduate Faculties","School of Science","Chemistry"
"21","10","Postgraduate Faculties","School of Science","Earth and Planetary Sciences"
"22","10","Postgraduate Faculties","School of Engineering","Mechanical Engineering"
"23","10","Postgraduate Faculties","School of Engineering","Systems and Control Engineering"
"24","10","Postgraduate Faculties","School of Engineering","Electrical and Electronic Engineering"
"25","10","Postgraduate Faculties","School of Engineering","Information and Communications Engineering"
"26","10","Postgraduate Faculties","School of Engineering","Industrial Engineering and Economics"
"27","10","Postgraduate Faculties","School of Materials and Chemical Technology","Materials Science and Engineering"
"28","10","Postgraduate Faculties","School of Materials and Chemical Technology","Chemical Science and Engineering"
"29","10","Postgraduate Faculties","School of Computing","Mathematical and Computing Science"
"30","10","Postgraduate Faculties","School of Computing","Computer Science"
"31","10","Postgraduate Faculties","School of Life Science and Technology","Life Science and Technology"
"32","10","Postgraduate Faculties","School of Environment and Society","Architecture and Building Engineering"
"33","10","Postgraduate Faculties","School of Environment and Society","Civil and Environmental Engineering"
"34","10","Postgraduate Faculties","School of Environment and Society","Transdisciplinary Science and Engineering"
"35","10","Postgraduate Faculties","School of Environment and Society","Social and Human Sciences"
"36","10","Postgraduate Faculties","School of Environment and Society","Innovation Science"
