"2525","Bachelor of Arts [B.A] {Hons.} Get Detailed Fees","16,390"
"2525","Bachelor of Science [B.Sc] {Hons.} Get Detailed Fees","18,033"
"2525","Bachelor of Elementary Education [B.El.Ed] Get Detailed Fees","19,030"
"2525","Bachelor of Commerce [B.Com] {Hons.} Get Detailed Fees","21,290"
"2525","Master of Arts [M.A] Get Detailed Fees","17,876"
"2525","Diploma Programme in Conflict Transformation and Peacebuilding [CTPB]",""
"2595","Master of Business Administration [MBA] Get Detailed Fees","22,750"
"2595","Bachelor of Science [B.Sc] Get Detailed Fees","48,000 *"
"2595","Bachelor of Arts [BA] Get Detailed Fees","4,614 *"
"2595","Bachelor of Commerce [B.Com] Get Detailed Fees","4,614 *"
"2595","Bachelor of Business Administration [BBA] Get Detailed Fees","25,000 *"
"2595","Bachelor in Animation and Multimedia Get Detailed Fees","36,000 *"
"2595","Bachelor of Computer Application [BCA] Get Detailed Fees","28,970 *"
"2595","Master of Science [M.Sc] Get Detailed Fees","5,953 *"
"2595","Master of Arts [M.A] Get Detailed Fees","5,010 *"
"2595","Master of Commerce [M.Com] Get Detailed Fees","4,390 *"
"2595","Master of Computer Applications [M.C.A] Get Detailed Fees","19,505 *"
"2595","Ph.D Get Detailed Fees","6,000 *"
"2595","Master of Philosophy [M.Phil] Get Detailed Fees","7,200 *"
"4973","Bachelor of Science [B.Sc] Get Detailed Fees","6,263"
"4973","Bachelor of Arts [BA] Get Detailed Fees","5,025"
"4973","Bachelor of Vocational Studies [B.Voc] Get Detailed Fees","6,546"
"4973","Bachelor of Management Studies [BMS] Get Detailed Fees","25,741"
"4973","Bachelor of Commerce [B.Com] Get Detailed Fees","5,025"
"4973","Bachelor of Mass Media [B.M.M.] Get Detailed Fees","27,051"
"4973","Master of Science [M.Sc] Get Detailed Fees","14,138"
"4973","Master of Arts [MA] (Ancient Indian History and Archaeology) Get Detailed Fees","7,118"
"4973","Master of Public Policy [MPP] Get Detailed Fees","60,000"
"4973","Diploma Get Detailed Fees","15,000"
